English,हिंदी,ગુજરાતી,મરાઠી,ಕನ್ನಡ,മലയാളം,தமிழ்,తెలుగు,বাংলা,অসমীয়া,ਪੰਜਾਬੀ,ଓଡ଼ିଆ,नेपाली,डोगरी,कोंकणी,सिंधी,बोडो,मैथिली,মণিপুরী,संथाली,اردو,کٲشُر
Where can I enquire about take home ration?,मैं टेक होम राशन के बारे में कहाँ पूछ सकता हूँ?,હોમ રાશન લેવા વિશે હું ક્યાં પૂછપરછ કરી શકું?,होम रेशनबद्दल मी कुठे चौकशी करू शकतो?,ಟೇಕ್ ಹೋಮ್ ಪಡಿತರ ಬಗ್ಗೆ ನಾನು ಎಲ್ಲಿ ಕೇಳಬಹುದು?,റേഷൻ വീട്ടിലേക്ക് കൊണ്ടുപോകുന്നതിനെക്കുറിച്ച് എനിക്ക് എവിടെ അന്വേഷിക്കാനാകും?,வீட்டிற்கு எடுத்துச் செல்லும் ரேஷன் பற்றி நான் எங்கே கேட்கலாம்?,టేక్ హోమ్ రేషన్ గురించి నేను ఎక్కడ విచారించగలను?,বাড়িতে নিয়ে যাওয়ার জন্য রেশনের ব্যাপারে আমি কোথায় জিজ্ঞাসা করতে পারি?,টেক হোম ৰেচনৰ বিষয়ে মই ক’ত খবৰ কৰিব পাৰো?,ਮੈਂ ਘਰ ਰਾਸ਼ਨ ਲਿਜਾਣ ਬਾਰੇ ਕਿੱਥੇ ਪੁੱਛ ਸਕਦਾ ਹਾਂ?,ଘରର ରାସନ ନେବା ବିଷୟରେ ମୁଁ କେଉଁଠାରେ ପଚାରିବି?,मैले घरमा रासन लैजाने बारेमा कहाँ सोध्न सक्छु?,मई कुत्थे इन्क़ुइर कर्रा होम राशन लेने असते?,टेक होम रेशन विशीं खंय चवकशी करूं येता?,किथे वनी मा घर जे राशन लाए पुछि ती सिगा?,न'नि रेसन लानायनि बागै आं बबेयाव सोंनानै मिथिनो हागोन?,हम घरक राशनक बारेमे पूछताछ कए सकैत छी?,তাক হোম রাসনগী মতাংদা ঐহাক্না কনাদা হংগনি?,इञ ओड़ाक् इदी ला़गित् रासान बाबोत ते ओकारिञ कुली दाड़ेयाकोवा?,میں گھر پر راشن لے جانے کے بارے میں کہاں پوچھ سکتا ہوں؟,راشن حاصل کرنہ یاپتھ کتہ ہیکو اسی زان کاری حاصل کرتھ؟
Please contact your respective Anganwadi worker.,"कृपया, अपने संबंधित आँगनवाड़ी कार्यकर्ता से संपर्क करें।",કૃપા કરીને તમારા સંબંધિત આંગણવાડી કાર્યકરનો સંપર્ક કરો.,कृपया तुमच्या संबंधित अंगणवाडी सेविकेशी संपर्क साधा.,ದಯವಿಟ್ಟು ನಿಮ್ಮ ಸಂಬಂಧಪಟ್ಟ ಅಂಗನವಾಡಿ ಕಾರ್ಯಕರ್ತೆಯರನ್ನು ಸಂಪರ್ಕಿಸಿ.,ദയവായി നിങ്ങളുടെ അംഗൻവാടി വർക്കറുമായി ബന്ധപ്പെടുക.,உங்கள் அங்கன்வாடி பணியாளரை தொடர்பு கொள்ளவும்.,దయచేసి మీ సంబంధిత అంగన్ వాడీ వర్కర్ ని సంప్రదించండి.,অনুগ্রহ করে আপনার নিজ নিজ অঙ্গনওয়াড়ি কর্মীর সাথে যোগাযোগ করুন।,অনুগ্ৰহ কৰি আপোনাৰ সংশ্লিষ্ট অংগনৱাড়ী কৰ্মীক যোগাযোগ কৰক৷।,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਵਰਕਰ ਨਾਲ ਸੰਪਰਕ ਕਰੋ।,ଦୟାକରି ଆପଣଙ୍କର ସମ୍ପୃକ୍ତ ଅଙ୍ଗନୱାଡି କର୍ମୀ ସହିତ ଯୋଗାଯୋଗ କରନ୍ତୁ |,कृपया आफ्नो सम्बन्धित आंगनवाडी कार्यकर्तालाई सम्पर्क गर्नुहोस्।,प्लीज कांटेक्ट करो अपने आंगनवाड़ी वर्कर की।,तुमच्या संबंदीत आंगनवाडी कार्यकर्त्या कडेन संपर्क सादचो.,किरपा तांजे आदरणीय आंगनवाड़ी कार्यकर्ता सा सम्पर्क कयो।,अननानै नोंथांनि गावनि अंगनवारि मावफारियाखौ सोमोन्दो खालाम।,कृपया अपनसँ संबंधित आंगनवाड़ी कार्यकर्तासँ संपर्क करू।,অদোমগী মরী লৈনবা অঙ্গনৱাদী ৱার্করদা পাউ ফাওবীয়ু।,दाया काते आमाक् सोमबोंध आंगनबाड़ी का़मिया को सांव सोमपोक मे।,براہ کرم اپنی متعلقہ آنگن واڑی ورکر سے رابطہ کریں۔,مہر بانی کرتھ کریو پننس متعلقہ آنگن واری ورکررس ساتی رابطہ قایم
Who is eligible for additional supplementary food.,अतिरिक्त पूरक भोजन के लिए कौन पात्र है।,વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે.,अतिरिक्त पूरक आहारासाठी कोण पात्र आहे.,ಹೆಚ್ಚುವರಿ ಪೂರಕ ಆಹಾರಕ್ಕಾಗಿ ಯಾರು ಅರ್ಹರು.,അധിക സപ്ലിമെന്ററി ഭക്ഷണത്തിന് അർഹതയുള്ളവർ.,கூடுதல் துணை உணவுக்கு யார் தகுதியானவர்.,అదనపు అనుబంధ ఆహారానికి ఎవరు అర్హులు.,কারা অতিরিক্ত সম্পূরক খাদ্য পাওয়ার জন্য যোগ্য।,অতিৰিক্ত পৰিপূৰক খাদ্যৰ বাবে কোন যোগ্য।,ਕੌਣ ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਯੋਗ ਹੈ।,କିଏ ଅତିରିକ୍ତ ସପ୍ଲିମେଣ୍ଟାରୀ ଖାଦ୍ୟ ପାଇଁ ଯୋଗ୍ୟ ଅଟେ |,थप पूरक खाना को लागी को योग्य छ।,कौन ऐ एलिजिबल एडिशनल सप्लीमेंट्री फ़ूड असते।,अतिरिक्त पूरक अन्न मेळोवपाक कोण पात्र आसा.,केर अतिरिक्त पूरी रोटी जे योग्य आ।,सोर उफ्रा होफादेरनाय जाग्रा मुवानि थाखाय जग्यतागोनां।,के अतिरिक्त पूरक भोजनक लेल योग्य अछि।,অহেনবা সপ্লিমেন্তরী ফুদকীদমক কনা ইলিজিবল ওইবগে।,जुटिच् गोड़ोवाक् जोम ला़गित् ओकोय लेकमाना।,کون اضافی اضافی خوراک کا اہل ہے۔,کس چھ اضافی سپلیمینٹری غذا باپتھ حقدار ؟
Children who are identified as deficit on nutrition are eligible for additional food supplements.,पोषण की कमी वाले बच्चों के रूप में पहचाना जाने वाले बच्चे अतिरिक्त पूरक आहार के लिए पात्र हैं।,જે બાળકો પોષણની ઉણપ તરીકે ઓળખાય છે તેઓ વધારાના આહાર પૂરવણીઓ માટે પાત્ર છે.,पोषणाची कमतरता म्हणून ओळखली जाणारी मुले अतिरिक्त आहार पूरक आहारांसाठी पात्र आहेत.,ಪೌಷ್ಟಿಕಾಂಶದ ಕೊರತೆಯಿರುವ ಮಕ್ಕಳು ಹೆಚ್ಚುವರಿ ಆಹಾರ ಪಡೆಯಲು ಅರ್ಹರಾಗಿರುತ್ತಾರೆ.,പോഷകാഹാരക്കുറവ് തിരിച്ചറിയുന്ന കുട്ടികൾക്ക് അധിക ഭക്ഷണ സപ്ലിമെന്റുകൾക്ക് അർഹതയുണ്ട്.,ஊட்டச்சத்து குறைபாடு உள்ள குழந்தைகள் கூடுதல் உணவுப் பொருட்களுக்கு தகுதியுடையவர்கள்.,పోషకాహార లోపంగా గుర్తించిన పిల్లలు అదనపు ఆహార అనుబంధాలకు అర్హులు.,যেসব শিশুদের মধ্যে পুষ্টির ঘাটতি চিহ্নিত করা হয়েছে তারা অতিরিক্ত খাদ্য সম্পূরক পাওয়ার যোগ্য।,শিশু সকল যি পুষ্টিৰ অভাৱত ভোগা বুলি চিনাক্ত হৈছে তেওঁলোক অতিৰিক্ত খাদ্যৰ পৰিপূৰকৰ বাবে যোগ্য৷,"ਜਿਹੜੇ ਬੱਚੇ ਪੋਸ਼ਣ ਦੀ ਘਾਟ ਵਜੋਂ ਪਛਾਣੇ ਗਏ ਹਨ, ਉਹ ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਯੋਗ ਹਨ।",ପୁଷ୍ଟିକର ଖାଦ୍ୟର ଅଭାବ ବୋଲି ଚିହ୍ନିତ ପିଲାମାନେ ଅତିରିକ୍ତ ଖାଦ୍ୟ ସପ୍ଲିମେଣ୍ଟ ପାଇଁ ଯୋଗ୍ୟ ଅଟନ୍ତି |,पोषणमा कमीको रूपमा पहिचान गरिएका बालबालिकाहरू थप खाद्य पूरकहरूका लागि योग्य छन्।,चिल्ड्रन जेडडे की आईडेंटटीफै ऍन डेफिसिट ऍन नुट्रिशन च ओ एलिजिबल ऍन एडिशनल फ़ूड सप्लीमेंट्स असते.,पोशणाचो उणाव आसा अशें वळखून घेतिल्लीं भुरगीं अतिरिक्त अन्न पूरक आहारां खातीर पात्र थारतात.,बार जेका कुपोषित आएन उवे अतिरिक्त पूरी रोटी जे योग्य आ एन।,जाय गथ'फोरखौ निउट्रिसनाव खम होननानै सिनायथिनाय जादों बिसोर उफ्रा जाग्रा मुवा होफादेरनायफोरनि थाखाय जग्यता गोनां।,"जे बच्चाकेँ पोषण पर कमीक रूपे चिन्हल जाइत अछि, ओ अतिरिक्त भोजनक खुराकक लेल योग्य अछि।",ন্যুত্রিসনগী অৱাৎপা লৈ হায়না মশক খঙদোক্লবা অঙাংশিংনা অহেনবা ফুদ সপ্লিমেন্তশিং ফংনবগীদমক ইলিজিবল ওই।,"ओकोय गिदरा़ को पोसान रेयाक् का़मी लेकाते चिनहाव आकाना, उनकु जुटिच् गोड़ो जोमाक् ला़गित् को लेकमान आ।",وہ بچے جن کی نشاندہی غذائیت کی کمی کے طور پر کی گئی ہے وہ اضافی فوڈ سپلیمنٹس کے اہل ہیں۔,یمن بچن ہنز شناخت کم غزایت والین بچن ہندی رنگی سپدہ، چھ اضافی سپلیمینٹری غزہکی حقدار
What is the eligibility of a beneficiary?,लाभार्थी की पात्रता क्या है?,લાભાર્થીની લાયકાત શું છે?,लाभार्थीची पात्रता काय आहे?,ಫಲಾನುಭವಿಯ ಅರ್ಹತೆ ಏನು?,ഒരു ഗുണഭോക്താവിന്റെ യോഗ്യത എന്താണ്?,ஒரு பயனாளியின் தகுதி என்ன?,లబ్ధిదారుని యొక్క అర్హత ఏమిటి?,একজন সুবিধাভোগীর কি যোগ্যতা থাকতে হবে?,এগৰাকী হিতাধিকাৰী হোৱাৰ যোগ্যতা কি?,ਲਾਭਪਾਤਰੀ ਦੀ ਯੋਗਤਾ ਕੀ ਹੈ?,ଜଣେ ହିତାଧିକାରୀଙ୍କ ଯୋଗ୍ୟତା କ’ଣ?,एउटा लाभार्थीको पात्रता के हो?,एलिजिबिलिटी के ऐ बेनेफिशरी दी?,लावार्थ्याची पात्रताय कितें?,छा आए लाभकारी जी पात्रता?,सासे मुलाम्फायारिनि जग्यताया मा?,एक लाभार्थी की योग्यता क्या है?,বেনিফিসরী অমগী ইলিজিবিলিতী অসি করিনো?,मित् लाभ ञामिजाक् लेकमान दो चेत् काना?,فائدہ اٹھانے والے کی اہلیت کیا ہے؟,فائدہ تلن والس کیا اہلیت گژھہ آسنی؟
A beneficiary is eligible for HCM for at least 21 days in a month.,एक लाभार्थी महीने में कम से कम 21 दिनों के लिए HCM के लिए पात्र है।,એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે HCM માટે પાત્ર છે.,एक लाभार्थी एका महिन्यात किमान 21 दिवस एचसीएम साठी पात्र असतो.,ಒಬ್ಬ ಫಲಾನುಭವಿಯು ತಿಂಗಳಲ್ಲಿ ಕನಿಷ್ಠ 21 ದಿನಗಳವರೆಗೆ HCM ಗೆ ಅರ್ಹನಾಗಿರುತ್ತಾನೆ.,ഒരു ഗുണഭോക്താവിന് ഒരു മാസത്തിൽ കുറഞ്ഞത് 21 ദിവസത്തേക്ക് HCM-ന് അർഹതയുണ്ട്.,ஒரு பயனாளி ஒரு மாதத்தில் குறைந்தது 21 நாட்களுக்கு HCM க்கு தகுதியுடையவர்.,లబ్ధిదారుడు నెలలో కనీసం 21 రోజులపాటు HCMకు అర్హత కలిగి ఉంటాడు.,একজন সুবিধাভোগী মাসে অন্তত 21 দিনের জন্য HCM পাওয়ার যোগ্য।,এগৰাকী হিতাধিকাৰী এমাহত অতিকেমও 21 দিনৰ বাবে HCM-ৰ বাবে যোগ্যতা অৰ্জন কৰে৷,ਇੱਕ ਲਾਭਪਾਤਰੀ ਇੱਕ ਮਹੀਨੇ ਵਿੱਚ ਘੱਟੋ-ਘੱਟ 21 ਦਿਨਾਂ ਲਈ ਐਚਸੀਐਮ ਲਈ ਯੋਗ ਹੁੰਦਾ ਹੈ।,ଜଣେ ହିତାଧିକାରୀ ଏକ ମାସରେ ଅତି କମ୍ ରେ 21 ଦିନ ପାଇଁ HCM ପାଇଁ ଯୋଗ୍ୟ ଅଟନ୍ତି |,एउटा लाभार्थी एक महिनामा कम्तिमा 21 दिनको लागि एचसीएम को लागी योग्य हुन्छ।,बेनेफिशरी एलिजिबल ऐ ऍन सी एम् च जेड़ा की कट्टो काट 21 डेज मंथ च.,लावार्थी म्हयन्यांत उण्यांत उणे 21 दीस एचसीएम मेळोवपाक पात्र आसता.,हिक लाभकारी योग्य आए HCM लाए घट में घट महिने जे 21 डियन लाए।,सासे मुलाम्फायारिआ दानसेआव खमैबो 21 साननि थाखाय एइचसिएमनि थाखाय जग्यता गोनां।,एकटा लाभार्थी एक महीनामे कमसँ कम 21 दिनक लेल एचसीएमक लेल योग्य छी।,বেনিফিসরী অমনা থা অমদা য়ামদ্রবদা নুমিৎ 21গী ঐচ.সি.এম.গীদমক ইলিজিবল ওই।,मित् लाभ ञामिच् चांदो रे कोम खोन कोम 21 माहा ला़गित् एच.सी.एम. ला़गदित् लेकमाना।,ایک استفادہ کنندہ مہینے میں کم از کم اکیس دنوں کے لیے HCM کا اہل ہے۔,اکھ فائدہ تلن وول چھ کم کھوتہ کم ریتس منز 21 دوہن ایچ سی ایم خا طرہ حق دار
Who is eligible for Hot Cooked Meal?,गर्म पके हुए भोजन के लिए कौन पात्र है?,ગરમ રાંધેલા ભોજન માટે કોણ પાત્ર છે?,गरम शिजवलेल्या जेवणासाठी कोण पात्र आहे?,ಬಿಸಿ ಊಟಕ್ಕೆ ಯಾರು ಅರ್ಹರು?,ചൂട് പാകം ചെയ്ത ഭക്ഷണത്തിന് അർഹതയുള്ളത് ആരാണ്?,சூடான சமைத்த உணவுக்கு யார் தகுதியானவர்?,హాట్ కూకేడ్ మిల్ ఎవరు అర్హులు?,কারা গরম রান্না করা খাবারের জন্য যোগ্য?,হ’ট কুকড মীলৰ বাবে কোন যোগ্য?,ਗਰਮ ਪਕਾਏ ਹੋਏ ਭੋਜਨ ਲਈ ਕੌਣ ਯੋਗ ਹੈ?,ଗରମ ରନ୍ଧା ଖାଦ୍ୟ ପାଇଁ କିଏ ଯୋଗ୍ୟ?,तातो पकाएको खानाको लागि को योग्य छ?,हॉट कुक्ड मील असते कौन एलिजिबल ऐ?,गरम शिजयल्लें जेवणा खातीर पात्र आसा?,केर गर्म ठयल रोटी जे काबिल आ?,सोर गुदुं संजानाय आदारनि थाखाय जग्यता गोनां?,गर्म पाकल भोजनक लेल के योग्य अछि?,হোৎ কুক মীলগীদমক কনা ইলিজিবল ওইবগে?,लोलो इसिनाक् जोम ला़गित् ओकोय लेकमाना?,گرم پکا ہوا کھانے کے لیے کون اہل ہے؟,گرم رننہ آمت غذا  باپتھ کس چھ حقدار؟
Children in the age group of 3 years to 6 years,3-6 वर्ष तक की आयु वाले बच्चे,3 વર્ષથી 6 વર્ષની વયના બાળકો,3 वर्षे ते 6 वर्षे वयोगटातील मुले,3 ವರ್ಷದಿಂದ 6 ವರ್ಷ ವಯಸ್ಸಿನ ಮಕ್ಕಳು,3 വയസ്സ് മുതൽ 6 വയസ്സ് വിഭാഗം കുട്ടികളുടെ വിഭാഗം,3 வயது முதல் 6 வயது வரை இருக்கும் குழந்தைகள்,3 సంవత్సరాల నుంచి 6 సంవత్సరాల వయస్సు గల పిల్లలు,3 বছর থেকে 6 বছর বয়সী শিশুরা,3 বছৰৰ পৰা 6 বছৰ সময় সীমাৰ ভিতৰত শিশুসকল,3 ਸਾਲ ਤੋਂ 6 ਸਾਲ ਦੀ ਉਮਰ ਦੇ ਬੱਚੇ,3 ବର୍ଷରୁ 6 ବର୍ଷ ବୟସର ପିଲାମାନେ,3 वर्ष देखि 6 वर्ष सम्मको उमेर समूहका बालबालिका,चिल्ड्रन जेडडे की ऐज ग्रुप दे ओन 3 इयर्स कोल्लो 6 इयर्स तक्क,3 वर्सां ते 6 वर्सां पिरायेच्या गटांतलीं भुरगीं,बार देखा 3 सल खा 6 सालन जा आएन,3 बोसोरनिफ्राय 6 बोसोर बैसोनि हानजानि गथ'फोर,3 बरखसँ 6 बरखक समूहमे नेनासभ,চহি 3 দগী চহি 6 কী চহি কাংলুপকী অঙাংশিং।,3 सेरमा खोन 6 सेरमा रिन उमेर हा़टिञ रिन गिदरा को,تین سال سے چھ سال کی عمر کے بچے,3وری وانسہ پیٹھہ 6 وری وانسیہ ہندی بچہ
Where can I enquire about Hot Cooked Meal?,मैं गर्म पके हुए भोजन के बारे में कहाँ से पूछताछ कर सकता हूँ?,હું ગરમ ​​રાંધેલા ભોજન વિશે ક્યાં પૂછપરછ કરી શકું?,मी गरम शिजवलेल्या जेवणाबद्दल कुठे चौकशी करू शकतो?,ಬಿಸಿ ಬೇಯಿಸಿದ ಆಹಾರದ ಬಗ್ಗೆ ನಾನು ಎಲ್ಲಿ ಕೇಳಬಹುದು?,ചൂട് പാകം ചെയ്ത ഭക്ഷണത്തെക്കുറിച്ച് എനിക്ക് എവിടെ അന്വേഷിക്കാനാകും?,சூடான சமைத்த உணவைப் பற்றி நான் எங்கே கேட்கலாம்?,హాట్ కూకేడ్ మిల్ గురించి నేను ఎక్కడ విచారించగలను?,আমি কোথায় গরম রান্না করা খাবার সম্পর্কে জিজ্ঞাসা করতে পারি?,হ’ট কুকড মীলৰ বিষয়ে মই ক’ত খবৰ কৰিব পাৰো?,ਮੈਂ ਗਰਮ ਪਕਾਏ ਹੋਏ ਭੋਜਨ ਬਾਰੇ ਕਿੱਥੇ ਪੁੱਛ ਸਕਦਾ ਹਾਂ?,ଗରମ ରନ୍ଧା ଖାଦ୍ୟ ବିଷୟରେ ମୁଁ କେଉଁଠାରେ ପଚାରିବି?,तातो पकाएको खानाको बारेमा मैले कहाँ सोधपुछ गर्न सक्छु?,मई कियाँ इन्क़ुइर कर्री सगना हॉट कुक्ड मील असते?,गरम शिजयल्ल्या जेवणाची खंय चवकशी करूं येता?,छा मां पुछि ती सिघा गर्म ठयल रोटी जे बारे मे?,गुदुं संजानाय आदारनि बागै आं बबेयाव सोंनानै मिथिनो हागोन?,हम गर्म पाकल भोजनक बारेमे कतहसँ पूछताछ कए सकैत छी?,হোৎ কুক মীলগী মতাংদা ঐহাক্না কনাদা হংগনি?,इञ लोलो इसिनाक् जोम बाबोत ते ओका रे कुली दाड़ेया कोवा?,میں گرم پکے ہوئے کھانے کے بارے میں کہاں پوچھ سکتا ہوں؟,گرم غذہس متعلق کتہ ہیکو زانکاری حاصل کرتھ؟
Please contact your respective Anganwadi Centre.,"कृपया, अपने संबंधित आँगनवाड़ी केंद्र से संपर्क करें।",કૃપા કરીને તમારા સંબંધિત આંગણવાડી કેન્દ્રનો સંપર્ક કરો.,कृपया तुमच्या संबंधित अंगणवाडी केंद्राशी संपर्क साधा.,ದಯವಿಟ್ಟು ನಿಮ್ಮ ಅಂಗನವಾಡಿ ಕೇಂದ್ರವನ್ನು ಸಂಪರ್ಕಿಸಿ.,ദയവായി നിങ്ങളുടെ അങ്കണവാടി കേന്ദ്രവുമായി ബന്ധപ്പെടുക.,உங்கள் அங்கன்வாடி மையத்தைத் தொடர்பு கொள்ளவும்.,దయచేసి మీ సంబంధిత అంగన్ వాడీ కేంద్రాన్ని సంప్రదించండి.,অনুগ্রহ করে আপনার নিজ নিজ অঙ্গনওয়াড়ি কেন্দ্রে যোগাযোগ করুন।,অনুগ্ৰহ কৰি আপোনাৰ সংশ্লিষ্ট অংগনৱাড়ী কেন্দ্ৰত যোগাযোগ কৰক৷,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਕੇਂਦਰ ਨਾਲ ਸੰਪਰਕ ਕਰੋ।,ଦୟାକରି ଆପଣଙ୍କର ସମ୍ପୃକ୍ତ ଅଙ୍ଗନୱାଡି କେନ୍ଦ୍ର ସହିତ ଯୋଗାଯୋଗ କରନ୍ତୁ |,कृपया आफ्नो सम्बन्धित आंगनवाडी केन्द्रमा सम्पर्क गर्नुहोस्।,प्लीज कांटेक्ट करो अपने रेस्पेक्टिवे आंगनवाड़ी सेंटर की.,उपकार करून तुमच्या संबंदीत आंगनवाडी केंद्रा कडेन संपर्क सादचो.,किरपा तांजे आंगनवाड़ी कार्यकर्ता सा सम्पर्क कयो।,अननानै नोंथांनि गावनि अंगनवारि मिरुआव सोमोन्दो खालाम।,कृपया अपनसँ संबंधित आंगनवाड़ी केंद्रसँ संपर्क करू।,অদোমগী মরী লৈনবা অঙ্গনৱাদী সেন্তরদা পাউ ফাওবীয়ু।,दाया काते आम सोमबोंदाक् आंगनबाड़ी केन्द्रो सांव सोमपोक मे।,براہ کرم اپنے متعلقہ آنگن واڑی سنٹر سے رابطہ کریں۔,مہربانی کرتھ کریو پننس متعلقہ آنگنواری مرکزس ساتی رابطہ قائم۔
Who is eligible for additional supplementary food?,अतिरिक्त पूरक आहार के लिए कौन पात्र है?,વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે?,अतिरिक्त पूरक आहारासाठी कोण पात्र आहे?,ಹೆಚ್ಚುವರಿ ಪೂರಕ ಆಹಾರಕ್ಕಾಗಿ ಯಾರು ಅರ್ಹರು?,അധിക സപ്ലിമെന്ററി ഭക്ഷണത്തിന് ആർക്കാണ് അർഹത?,கூடுதல் துணை உணவுக்கு யார் தகுதியானவர்?,అదనపు అనుబంధ ఆహారానికి ఎవరు అర్హులు?,কে অতিরিক্ত সম্পূরক খাদ্য পাওয়ার যোগ্য?,অতিৰিক্ত পৰিপূৰক খাদ্যৰ বাবে কোন যোগ্য?,ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਕੌਣ ਯੋਗ ਹੈ?,ଅତିରିକ୍ତ ସପ୍ଲିମେଣ୍ଟାରୀ ଖାଦ୍ୟ ପାଇଁ କିଏ ଯୋଗ୍ୟ?,थप पूरक खानाको लागि को योग्य छ?,कौन ऐ एलिजिबल एडिशनल सप्लीमेंट्री फ़ूड असते?,अतिरिक्त पूरक अन्न मेळोवपाक कोण पात्र आसा?,केर अतिरिक्त पूरी रोटी जे योग्य आ?,सोर उफ्रा होफादेरनाय जाग्रा मुवानि थाखाय जग्यतागोनां?,अतिरिक्त पूरक भोजनक लेल के योग्य अछि?,অহেনবা সপ্লিমেন্তরী ফুদকীদমক কনা ইলিজিবল ওইবগে?,जुटिच् गोड़ो जोम ला़गित् ओकोय लेख माना?,اضافی اضافی خوراک کے لیے کون اہل ہے؟,اضافی سپلیمینٹری غذہس کس چھ حقدار؟
Children who are identified as deficit on nutrition are eligible for additional food supplements.,पोषण की कमी वाले बच्चों के रूप में पहचाना जाने वाले बच्चे अतिरिक्त पूरक आहार के लिए पात्र हैं।,જે બાળકો પોષણની ઉણપ તરીકે ઓળખાય છે તેઓ વધારાના આહાર પૂરવણીઓ માટે પાત્ર છે.,पोषणाची कमतरता म्हणून ओळखली जाणारी मुले अतिरिक्त आहार पूरक आहारांसाठी पात्र आहेत.,ಪೌಷ್ಟಿಕಾಂಶದ ಕೊರತೆಯಿರುವ ಮಕ್ಕಳು ಹೆಚ್ಚುವರಿ ಆಹಾರಕ್ಕೆ  ಅರ್ಹರಾಗಿರುತ್ತಾರೆ.,പോഷകാഹാരക്കുറവ് തിരിച്ചറിയുന്ന കുട്ടികൾക്ക് അധിക ഭക്ഷണ സപ്ലിമെന്റുകൾക്ക് അർഹതയുണ്ട്.,ஊட்டச்சத்து குறைபாடு உள்ள குழந்தைகள் கூடுதல் உணவுப் பொருட்களுக்கு தகுதியுடையவர்கள்.,పోషకాహార లోపంగా గుర్తించిన పిల్లలు అదనపు ఆహార అనుబంధాలకు అర్హులు.,যেসব শিশুদের মধ্যে পুষ্টির ঘাটতি চিহ্নিত করা হয়েছে তারা অতিরিক্ত খাদ্য সম্পূরক পাওয়ার যোগ্য।,শিশু সকল যি পুষ্টিৰ অভাৱত ভোগা বুলি চিনাক্ত হৈছে তেওঁলোক অতিৰিক্ত খাদ্যৰ পৰিপূৰকৰ বাবে যোগ্য৷,"ਜਿਹੜੇ ਬੱਚੇ ਪੋਸ਼ਣ ਦੀ ਘਾਟ ਵਜੋਂ ਪਛਾਣੇ ਗਏ ਹਨ, ਉਹ ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਯੋਗ ਹਨ।",ପୁଷ୍ଟିକର ଖାଦ୍ୟର ଅଭାବ ବୋଲି ଚିହ୍ନିତ ପିଲାମାନେ ଅତିରିକ୍ତ ଖାଦ୍ୟ ସପ୍ଲିମେଣ୍ଟ ପାଇଁ ଯୋଗ୍ୟ ଅଟନ୍ତି |,पोषणमा कमीको रूपमा पहिचान गरिएका बालबालिकाहरू थप खाद्य पूरकहरूका लागि योग्य छन्।,चिल्ड्रन जेडडे की आईडेंटटीफै ऍन डेफिसिट ऍन नुट्रिशन च ओ एलिजिबल ऍन एडिशनल फ़ूड सप्लीमेंट्स असते.,पोशणाचो उणाव आसा अशें वळखून घेतिल्लीं भुरगीं अतिरिक्त अन्न पूरक आहारां खातीर पात्र थारतात.,बार जेका कुपोषित आएन उवे अतिरिक्त पूरी रोटी जे योग्य आ एन।,जाय गथ'फोरखौ निउट्रिसनाव खम होननानै सिनायथिनाय जादों बिसोर उफ्रा जाग्रा मुवा होफादेरनायफोरनि थाखाय जग्यता गोनां।,"जे बच्चाकेँ पोषण पर कमीक रूपे चिन्हल जाइत अछि, ओ अतिरिक्त भोजनक खुराकक लेल योग्य अछि।",ন্যুত্রিসনগী অৱাৎপা লৈ হায়না মশক খঙদোক্লবা অঙাংশিংনা অহেনবা ফুদ সপ্লিমেন্তশিং ফংনবগীদমক ইলিজিবল ওই।,"ओकोय गिदरा़ को पोसान रेयाक् का़मी लेकाते चिनहाव आकाना, उनकु जुटिच् गोड़ो जोमाक् ला़गित् को लेकमान आ।",وہ بچے جن کی نشاندہی غذائیت کی کمی کے طور پر کی گئی ہے وہ اضافی فوڈ سپلیمنٹس کے اہل ہیں۔,یمن بچن ہنز شناخت کم غزایت والین بچن ہندی رنگی سپدہ، چھ اضافی سپلیمینٹری غزہکی حقدار
